Country Name,Country Code,Series Name,Series Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Jordan,JOR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1580,1650,1800,1870,1920,2050,2330,2530,2720,2980,3400,3680,3820,3990,4210,4420,4590,4680
Kazakhstan,KAZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1390,1290,1260,1350,1520,1800,2300,2950,3860,4980,6150,6780,7440,8280,9940,11840,12090,11390
Kenya,KEN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,440,440,420,410,390,420,470,530,600,730,860,930,1000,1040,1090,1180,1300,1340
Kiribati,KIR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1470,1300,1330,1340,1250,1310,1530,1730,1760,1750,1880,1880,1990,2010,2450,2840,3250,3390
"Korea, Dem. People’s Rep.",PRK,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,10120,10160,10750,11630,12470,13360,15650,17800,19980,22460,22850,21090,21320,22620,24640,25870,26970,27450
Kosovo,XKX,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..,2510,2800,3100,3280,3420,3640,3780,3950,3990,3960
Kuwait,KWT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,20400,17770,19050,19790,19830,23300,28640,34600,41130,46930,50770,45010,41220,42860,49600,52060,49910,42150
Kyrgyz Republic,KGZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,360,300,280,280,290,340,400,450,500,610,760,860,850,880,1040,1220,1260,1170
Lao PDR,LAO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,310,290,280,310,320,340,390,460,510,620,750,890,1000,1120,1290,1490,1640,1740
Latvia,LVA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2870,2990,3310,3600,3930,4670,5820,7360,8880,11170,13410,14010,12630,13150,13800,14950,15340,14990
Lebanon,LBN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4970,5330,5470,5300,4990,4460,5550,5710,5650,6250,6960,7840,8450,8600,8440,8180,7950,7710
Lesotho,LSO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,680,670,640,700,640,710,850,1050,1160,1200,1240,1200,1250,1490,1610,1660,1470,1280
Liberia,LBR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,130,120,150,130,120,80,90,120,130,160,180,220,250,320,340,370,370,380
Libya,LBY,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,5180,5170,5150,6860,8570,10330,12070,11940,12250,4660,..,..,..,..
Liechtenstein,LIE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,77530,78470,78630,68010,64840,68220,78410,92360,103560,111510,121040,115530,..,..,..,..,..,..
Lithuania,LTU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,6040,7600,8820,10620,12660,12430,12430,13220,14110,15260,16030,15080
Luxembourg,LUX,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,42810,42300,42320,42140,40500,43180,55890,66390,60170,74290,78950,69520,79020,74910,74510,74390,75940,77480
